,total_degree,in_degree,internal_edges,out_degree,external_edges
10,819,152,101384,667,0
35,2102,402,683400,1700,0
60,119,22,2134,97,0
65,1552,299,374647,1253,0
94,135,30,3150,105,0
102,1876,359,544603,1517,0
107,1558,313,389685,1245,0
149,552,113,49607,439,0
176,1657,315,422730,1342,0
180,595,120,57000,475,0
181,865,167,116566,698,0
187,932,168,128352,764,0
202,385,71,22294,314,0
214,1296,252,263088,1044,0
219,1558,313,389685,1245,0
229,1331,255,274380,1076,0
240,1934,345,548205,1589,0
270,62,16,736,46,0
273,932,168,128352,764,0
297,1411,281,317530,1130,0
305,620,121,60379,499,0
315,1296,252,263088,1044,0
327,821,143,96954,678,0
332,821,143,96954,678,0
358,1541,306,377910,1235,0
359,1558,313,389685,1245,0
360,282,50,11600,232,0
384,337,74,19462,263,0
387,821,143,96954,678,0
398,516,103,42539,413,0
399,217,44,7612,173,0
411,2102,402,683400,1700,0
412,714,137,79049,577,0
433,932,168,128352,764,0
450,778,163,100245,615,0
453,380,76,23104,304,0
454,61,14,658,47,0
484,1342,282,298920,1060,0
509,950,193,146101,757,0
530,1934,345,548205,1589,0
537,1296,252,263088,1044,0
540,1934,345,548205,1589,0
551,700,128,73216,572,0
557,135,30,3150,105,0
560,156,34,4148,122,0
576,932,168,128352,764,0
584,1025,201,165624,824,0
597,88,17,1207,71,0
615,217,44,7612,173,0
616,971,184,144808,787,0
662,971,184,144808,787,0
665,1552,299,374647,1253,0
668,124,28,2688,96,0
675,69,12,684,57,0
676,1411,281,317530,1130,0
682,971,184,144808,787,0
684,620,121,60379,499,0
688,1280,232,243136,1048,0
696,305,70,16450,235,0
698,1829,353,521028,1476,0
700,415,75,25500,340,0
714,819,152,101384,667,0
716,1934,345,548205,1589,0
719,950,193,146101,757,0
733,950,193,146101,757,0
752,641,131,66810,510,0
758,1552,299,374647,1253,0
764,1657,315,422730,1342,0
767,595,120,57000,475,0
780,1181,246,230010,935,0
795,1280,232,243136,1048,0
815,40,7,231,33,0
819,1552,299,374647,1253,0
821,793,158,100330,635,0
848,976,180,143280,796,0
851,819,152,101384,667,0
858,971,184,144808,787,0
884,1025,201,165624,824,0
890,971,184,144808,787,0
903,548,102,45492,446,0
907,1829,353,521028,1476,0
910,1552,299,374647,1253,0
917,1876,359,544603,1517,0
931,1876,359,544603,1517,0
932,950,193,146101,757,0
934,2102,402,683400,1700,0
954,110,27,2241,83,0
976,793,158,100330,635,0
982,2102,402,683400,1700,0
1000,568,114,51756,454,0
1011,641,131,66810,510,0
1026,1342,282,298920,1060,0
1037,865,167,116566,698,0
1045,58,11,517,47,0
1048,1342,282,298920,1060,0
1066,1541,306,377910,1235,0
1095,534,102,44064,432,0
1105,534,102,44064,432,0
1127,976,180,143280,796,0
1131,1558,313,389685,1245,0
1145,1411,281,317530,1130,0
1153,1078,198,174240,880,0
1165,17,3,42,14,0
1179,1541,306,377910,1235,0
1189,1552,299,374647,1253,0
1190,1262,259,259777,1003,0
1194,1411,281,317530,1130,0
1198,317,63,16002,254,0
1199,1181,246,230010,935,0
1200,64,15,735,49,0
1261,317,63,16002,254,0
1270,1558,313,389685,1245,0
1273,395,72,23256,323,0
1283,54,14,560,40,0
1288,323,55,14740,268,0
1293,778,163,100245,615,0
1297,401,77,24948,324,0
1312,1411,281,317530,1130,0
1319,495,87,35496,408,0
1344,595,121,57354,474,0
1355,1181,246,230010,935,0
1358,174,36,4968,138,0
1359,156,34,4148,122,0
1366,1262,259,259777,1003,0
1367,497,97,38800,400,0
1377,819,152,101384,667,0
1396,620,121,60379,499,0
1405,1876,359,544603,1517,0
1417,2102,402,683400,1700,0
1425,950,193,146101,757,0
1426,568,114,51756,454,0
1429,641,131,66810,510,0
1439,865,167,116566,698,0
1465,62,16,736,46,0
1486,1025,201,165624,824,0
1494,282,50,11600,232,0
1521,1280,232,243136,1048,0
1522,23,6,102,17,0
1523,551,102,45798,449,0
1551,1552,299,374647,1253,0
1557,264,56,11648,208,0
1563,572,130,57460,442,0
1569,976,180,143280,796,0
1581,2102,402,683400,1700,0
1591,16,3,39,13,0
1602,24,6,108,18,0
1616,819,152,101384,667,0
1619,1280,232,243136,1048,0
1625,2102,402,683400,1700,0
1632,932,168,128352,764,0
