,role_0,role_1,role_2,role_3
10,0.99,0.0,0.0,0.0
35,0.0,0.59,0.41,0.0
60,0.25,0.25,0.25,0.25
65,1.0,0.0,0.0,0.0
94,0.25,0.25,0.25,0.25
102,0.0,0.6,0.4,0.0
107,0.0,0.0,1.0,0.0
149,0.97,0.01,0.01,0.01
176,0.0,0.61,0.39,0.0
180,0.97,0.01,0.01,0.01
181,0.99,0.0,0.0,0.0
187,0.99,0.0,0.0,0.0
202,0.25,0.25,0.25,0.25
214,0.99,0.0,0.0,0.0
219,0.0,0.0,1.0,0.0
229,0.99,0.0,0.0,0.0
240,0.0,0.6,0.4,0.0
270,0.25,0.25,0.25,0.25
273,0.99,0.0,0.0,0.0
297,0.99,0.0,0.0,0.0
305,0.97,0.01,0.01,0.01
315,0.99,0.0,0.0,0.0
327,0.99,0.0,0.0,0.0
332,0.99,0.0,0.0,0.0
358,1.0,0.0,0.0,0.0
359,0.0,0.0,1.0,0.0
360,0.25,0.25,0.25,0.25
384,0.25,0.25,0.25,0.25
387,0.99,0.0,0.0,0.0
398,0.97,0.01,0.01,0.01
399,0.25,0.25,0.25,0.25
411,0.0,0.59,0.41,0.0
412,0.97,0.01,0.01,0.01
433,0.99,0.0,0.0,0.0
450,0.99,0.0,0.0,0.0
453,0.25,0.25,0.25,0.25
454,0.25,0.25,0.25,0.25
484,0.99,0.0,0.0,0.0
509,0.99,0.0,0.0,0.0
530,0.0,0.6,0.4,0.0
537,0.99,0.0,0.0,0.0
540,0.0,0.6,0.4,0.0
551,0.97,0.01,0.01,0.01
557,0.25,0.25,0.25,0.25
560,0.25,0.25,0.25,0.25
576,0.99,0.0,0.0,0.0
584,0.99,0.0,0.0,0.0
597,0.25,0.25,0.25,0.25
615,0.25,0.25,0.25,0.25
616,0.99,0.0,0.0,0.0
662,0.99,0.0,0.0,0.0
665,1.0,0.0,0.0,0.0
668,0.25,0.25,0.25,0.25
675,0.25,0.25,0.25,0.25
676,0.99,0.0,0.0,0.0
682,0.99,0.0,0.0,0.0
684,0.97,0.01,0.01,0.01
688,0.99,0.0,0.0,0.0
696,0.25,0.25,0.25,0.25
698,0.0,0.6,0.4,0.0
700,0.25,0.25,0.25,0.25
714,0.99,0.0,0.0,0.0
716,0.0,0.6,0.4,0.0
719,0.99,0.0,0.0,0.0
733,0.99,0.0,0.0,0.0
752,0.97,0.01,0.01,0.01
758,1.0,0.0,0.0,0.0
764,0.0,0.61,0.39,0.0
767,0.97,0.01,0.01,0.01
780,0.99,0.0,0.0,0.0
795,0.99,0.0,0.0,0.0
815,0.25,0.25,0.25,0.25
819,1.0,0.0,0.0,0.0
821,0.99,0.0,0.0,0.0
848,0.99,0.0,0.0,0.0
851,0.99,0.0,0.0,0.0
858,0.99,0.0,0.0,0.0
884,0.99,0.0,0.0,0.0
890,0.99,0.0,0.0,0.0
903,0.97,0.01,0.01,0.01
907,0.0,0.6,0.4,0.0
910,1.0,0.0,0.0,0.0
917,0.0,0.6,0.4,0.0
931,0.0,0.6,0.4,0.0
932,0.99,0.0,0.0,0.0
