node,role
10,role_0
35,role_1
60,role_0
65,role_0
94,role_0
102,role_1
107,role_2
149,role_0
176,role_1
180,role_0
181,role_0
187,role_0
202,role_0
214,role_0
219,role_2
229,role_0
240,role_1
270,role_0
273,role_0
297,role_0
305,role_0
315,role_0
327,role_0
332,role_0
358,role_0
359,role_2
360,role_0
384,role_0
387,role_0
398,role_0
399,role_0
411,role_1
412,role_0
433,role_0
450,role_0
453,role_0
454,role_0
484,role_0
509,role_0
530,role_1
537,role_0
540,role_1
551,role_0
557,role_0
560,role_0
576,role_0
584,role_0
597,role_0
615,role_0
616,role_0
662,role_0
665,role_0
668,role_0
675,role_0
676,role_0
682,role_0
684,role_0
688,role_0
696,role_0
698,role_1
700,role_0
714,role_0
716,role_1
719,role_0
733,role_0
752,role_0
758,role_0
764,role_1
767,role_0
780,role_0
795,role_0
815,role_0
819,role_0
821,role_0
848,role_0
851,role_0
858,role_0
884,role_0
890,role_0
903,role_0
907,role_1
910,role_0
917,role_1
931,role_1
932,role_0
934,role_1
954,role_0
976,role_0
982,role_1
1000,role_0
1011,role_0
1026,role_0
1037,role_0
1045,role_0
1048,role_0
1066,role_0
1095,role_0
1105,role_0
1127,role_0
1131,role_2
1145,role_0
1153,role_0
1165,role_0
1179,role_0
1189,role_0
1190,role_0
1194,role_0
1198,role_0
1199,role_0
1200,role_0
1261,role_0
1270,role_2
1273,role_0
1283,role_0
1288,role_0
1293,role_0
1297,role_0
1312,role_0
1319,role_0
1344,role_0
1355,role_0
1358,role_0
1359,role_0
1366,role_0
1367,role_0
1377,role_0
1396,role_0
1405,role_1
1417,role_1
1425,role_0
1426,role_0
1429,role_0
1439,role_0
1465,role_0
1486,role_0
1494,role_0
1521,role_0
1522,role_0
1523,role_0
1551,role_0
1557,role_0
1563,role_0
1569,role_0
1581,role_1
1591,role_0
1602,role_0
1616,role_0
1619,role_0
1625,role_1
1632,role_0
1640,role_0
1644,role_0
1655,role_1
1669,role_0
1673,role_0
1685,role_0
1688,role_0
1691,role_0
1706,role_0
1725,role_0
1726,role_0
1748,role_0
1769,role_1
1771,role_1
1779,role_0
1783,role_1
1789,role_0
1799,role_0
1815,role_0
1819,role_0
1828,role_0
1848,role_0
1873,role_0
1897,role_0
1909,role_0
1927,role_0
1930,role_0
1934,role_0
1938,role_0
1944,role_0
1945,role_0
1974,role_0
1979,role_0
1994,role_0
2022,role_0
2034,role_0
2039,role_0
2070,role_1
2075,role_0
2081,role_0
2084,role_0
2089,role_0
2103,role_0
2106,role_1
2124,role_0
2155,role_0
2181,role_0
2194,role_0
2195,role_0
2221,role_2
2233,role_0
2262,role_0
2263,role_0
2285,role_0
2304,role_0
2316,role_1
2325,role_0
2346,role_0
2354,role_1
2365,role_1
2369,role_0
2397,role_0
2409,role_0
2427,role_0
2443,role_0
2460,role_0
2472,role_0
2487,role_0
2497,role_0
2530,role_0
2550,role_0
2564,role_0
2576,role_0
2585,role_0
2587,role_0
2601,role_0
2609,role_0
2622,role_0
2625,role_0
2628,role_0
2665,role_0
2697,role_1
2715,role_0
2735,role_0
2742,role_0
2747,role_0
2758,role_1
2760,role_0
2766,role_0
2774,role_0
2799,role_0
2806,role_2
2807,role_0
2828,role_0
2830,role_0
2836,role_0
2847,role_0
2867,role_2
2881,role_0
2906,role_2
2907,role_0
2940,role_0
2957,role_0
2971,role_0
2986,role_2
2992,role_0
2999,role_0
3000,role_0
3005,role_0
3006,role_0
3025,role_0
3026,role_0
3034,role_0
3058,role_0
3062,role_0
3067,role_1
3108,role_0
3130,role_0
3133,role_0
3137,role_0
3146,role_0
3162,role_0
3190,role_0
3199,role_0
3206,role_0
3214,role_0
3218,role_0
3226,role_0
3232,role_0
3233,role_0
3250,role_1
3255,role_0
3257,role_0
3285,role_0
3287,role_0
3290,role_0
3303,role_0
3312,role_0
3323,role_0
3326,role_0
3337,role_0
3342,role_1
3351,role_0
3378,role_0
3380,role_0
3382,role_1
3388,role_0
3395,role_0
3413,role_0
3425,role_0
3437,role_0
3439,role_0
3444,role_0
3446,role_0
3463,role_0
3465,role_0
3466,role_0
3476,role_0
3477,role_0
3488,role_0
